"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"10253","XLOC_010254",6.18855,1.59028,1.39487,2.41608,1.73473,0.946523,"MADCAM1",3.0579,1.699111,-0.847761123808316,0.837275151218489,0.490547703571233,1
"5333","XLOC_005334",0,3.18056,0.697436,1.20804,0,0.946523,"RACGAP1P",1.29266533333333,0.718187666666667,-0.847916031507412,0.556352378994461,0.633909603483704,1
"18468","XLOC_018469",945.965,1047.2,1048.94,494.088,518.685,676.764,"FLOT1",1014.035,563.179,-0.848442004234662,6.77046499893453,0.021126526259787,1
"18413","XLOC_018414",12.3771,7.95141,11.8564,2.41608,6.93893,8.51871,"HIST1H4H",10.7283033333333,5.95790666666667,-0.848544505464734,2.07320632003848,0.173895787798419,1
"4621","XLOC_004621",103.437,127.223,131.815,35.0331,45.1031,121.155,"PLEKHG6",120.825,67.0970666666667,-0.848597393241799,1.88044108896471,0.20079279681308,1
"16974","XLOC_016975",3190.64,2888.75,2436.84,1638.1,1504.01,1584.48,"GPR98",2838.74333333333,1575.53,-0.849415187550428,5.67802341321536,0.0296450651710561,1
"12831","XLOC_012832",7.07263,4.77085,5.57949,6.0402,1.73473,1.89305,"CD8A",5.80765666666667,3.22266,-0.849704179627012,1.65444992245749,0.239861800890924,1
"10620","XLOC_010621",38.8995,40.5522,31.3846,18.1206,12.1431,31.2353,"GAPDHS",36.9454333333333,20.4996666666667,-0.849795598956852,2.6084901550385,0.120888954097897,1
"4012","XLOC_004012",290.862,344.296,307.569,196.91,192.555,133.46,"RIC3",314.242333333333,174.308333333333,-0.850236003720083,5.41504756981556,0.0324522616733427,1
"9377","XLOC_009378",59.2333,81.1044,71.1385,22.9527,24.2863,70.0427,"PEMT",70.4920666666667,39.0939,-0.850517387763084,1.87783572209486,0.201193363253037,1
"502","XLOC_000502",14.1453,7.95141,11.8564,6.0402,5.2042,7.57219,"EPHX4",11.3177033333333,6.27219666666667,-0.851538524786554,2.605381341931,0.121127289472714,1
"2861","XLOC_002861",228.092,227.41,239.918,130.468,91.9409,162.802,"RASGEF1A",231.806666666667,128.403633333333,-0.852236032463468,4.95214188693872,0.0384409715185105,1
"6295","XLOC_006296",76.0308,64.4064,71.836,33.8251,36.4294,47.3262,"GALNTL1",70.7577333333333,39.1935666666667,-0.85227096712105,5.89687306506822,0.0275739434588061,1
